Ticker,Type,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
SICC,Annuel,An,2015,* Données annuelles en XOF,861192787,176248418,-35460457,140787961,298964605,434869656,1521953318,,,,,,,,
SICC,Semestriel,S1,1ersemestre2019,* Données semestrielles en XOF,1252772454,,,160029653,0,120022240,,,,,,,,,
SICC,Semestriel,S1,1ersemestre2018,* Données semestrielles en XOF,520028946,,,-217526336,0,-220526336,,,,,,,,,
SIVC,Annuel,An,2023,* Données annuelles en XOF,8512305646,824518419,-199032889,625485530,353779472,895708500,15698401816,,,,,,,,
SIVC,Annuel,An,2022,* Données annuelles en XOF,8688869897,339115809,-268462001,70653808,367093514,402747322,15914219225,,,,,,,,
SIVC,Annuel,An,2021,* Données annuelles en XOF,7647961956,507833300,-133501736,374331564,388081173,727412737,15721786357,,,,,,,,
SIVC,Annuel,An,2020,* Données annuelles en XOF,6348743028,-2518217382,-296926677,-2815144059,387424203,-2462719856,15836388054,,,,,,,,
SIVC,Annuel,An,2019,* Données annuelles en XOF,7170432956,-737217856,-185833855,-923051711,896528404,-26523307,17351927849,,,,,,,,
SIVC,Annuel,An,2018,* Données annuelles en XOF,7446826835,-13346446,-225910340,-239256786,192420239,-81836547,18031095309,,,,,,,,
SIVC,Annuel,An,2017,* Données annuelles en XOF,7530357170,-974423080,-157293994,-1131717074,175808248,-990908826,18479955915,,,,,,,,
SIVC,Annuel,An,2016,* Données annuelles en XOF,7587239092,-121898110,-178655971,-300554081,452749714,69103740,16984520334,,,,,,,,
SIVC,Annuel,An,2015,* Données annuelles en XOF,8064657885,517800232,-143038430,374761802,167362214,355537679,12451723148,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2023,* Données semestrielles en milliers de XOF,4028251,337875,-98821,239054,0,221552,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2022,* Données semestrielles en milliers de XOF,4547165,-116710,-143253,-259963,183546,-93917,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2021,* Données semestrielles en milliers de XOF,3510809,70081,-62034,8046,194041,184587,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2020,* Données semestrielles en milliers de XOF,3303060,-226184,-87657,-313841,201835,-112006,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2019,* Données semestrielles en milliers de XOF,3494373,-190249,-93641,-283890,448414,147052,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2018,* Données semestrielles en milliers de XOF,3665251,-3582,-130885,-134467,22274,-132691,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2017,* Données semestrielles en milliers de XOF,3614798,-392864,-68147,-461011,1950,-477135,,,,,,,,,
SIVC,Semestriel,S1,1ersemestre2016,* Données semestrielles en milliers de XOF,3986507,409643,-79888,329755,0,249238,,,,,,,,,
