Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
ABJC M,2008-05,7.83,4559855,248,18260,4950,913
ABJC M,2008-04,0.0,1596600,230,7380,4600,369
ABJC M,2008-03,2.22,3659865,230,16600,4600,830
ABJC M,2008-02,-2.17,619300,225,2860,4500,143
ABJC M,2008-01,-8.0,988335,230,4380,4600,219
ABJC M,2007-12,-7.41,1197250,250,4720,5000,236
ABJC M,2007-11,-6.9,2220940,270,7520,5400,376
ABJC M,2007-10,36.15,3178345,290,10880,5800,544
ABJC M,2007-09,80.51,819980,213,5740,4250,287
ABJC M,2007-08,2.61,130250,118,1160,2350,58
ABJC M,2007-07,15.0,625520,115,5980,2300,299
ABJC M,2007-06,0.0,1168000,100,11680,2000,584
ABJC M,2007-05,0.0,6000,100,60,2000,3
ABJC M,2007-04,0.0,20000,100,200,2000,10
ABJC M,2007-03,0.0,30000,100,300,2000,15
ABJC M,2007-01,0.0,68000,100,680,2000,34
ABJC M,2006-11,0.0,68000,100,680,2000,34
ABJC M,2006-10,0.0,62000,100,620,2000,31
ABJC M,2006-09,0.0,40000,100,400,2000,20
ABJC M,2006-08,0.0,406000,100,4060,2000,203
ABJC M,2006-07,-9.09,442000,100,4420,2000,221
ABJC M,2006-05,6.8,127600,110,1160,2200,58
ABJC M,2006-04,-7.21,43050,103,420,2050,21
ABJC M,2006-03,0.0,119340,111,1080,2210,54
ABJC M,2006-02,0.91,337810,111,3060,2210,153
ABJC M,2006-01,0.0,28600,110,260,2200,13
ABJC M,2005-12,0.0,365200,110,3320,2200,166
ABJC M,2005-10,0.0,305640,110,2760,2200,138
ABJC M,2005-09,10.0,370120,110,3620,2205,181
ABJC M,2005-08,17.65,264310,100,2640,2000,132
ABJC M,2005-07,0.0,1006400,85,11840,1700,592
ABJC M,2005-06,-8.6,1408500,85,16380,1700,819
ABJC M,2005-05,0.0,96460,93,1040,1855,52
ABJC M,2005-04,0.0,31535,93,340,1855,17
ABJC M,2005-03,0.0,66600,93,720,1850,36
ABJC M,2005-02,0.0,451400,93,4880,1850,244
ABJC M,2005-01,0.0,11100,93,120,1850,6
ABJC M,2004-12,0.0,16650,93,180,1850,9
ABJC M,2004-11,0.0,327450,93,3540,1850,177
ABJC M,2004-10,0.0,296800,93,3200,1855,160
ABJC M,2004-09,2.2,1080400,93,11680,1850,584
ABJC M,2004-08,7.06,115680,91,1280,1810,64
ABJC M,2004-07,-1.16,88400,85,1040,1700,52
ABJC M,2004-05,1.18,54720,86,640,1710,32
ABJC M,2004-04,0.0,166600,85,1960,1700,98
ABJC M,2004-03,0.0,183600,85,2160,1700,108
ABJC M,2004-02,0.0,20400,85,240,1700,12
ABJC M,2004-01,-4.49,1133390,85,13460,1700,673
ABJC M,2003-11,0.0,199920,89,2240,1785,112
ABJC M,2003-10,-1.11,110850,89,1240,1785,62
ABJC M,2003-09,0.0,151200,90,1680,1800,84
ABJC M,2003-08,-3.23,720550,90,8000,1800,400
ABJC M,2003-07,-7.0,386650,93,4180,1850,209
ABJC M,2003-05,0.0,20000,100,200,2000,10
ABJC M,2003-03,0.0,424000,100,4240,2000,212
ABJC M,2003-01,-6.54,225500,100,2240,2000,112
ABJC M,2002-12,-6.96,242900,107,2260,2130,113
ABJC M,2002-11,0.0,52900,115,460,2300,23
ABJC M,2002-09,-0.86,267250,115,2320,2300,116
ABJC M,2002-08,-7.2,240760,116,2080,2315,104
ABJC M,2002-07,-22.84,554200,125,4120,2500,206
ABJC M,2002-06,-7.43,324000,162,2000,3240,100
ABJC M,2002-03,0.0,3500,175,20,3500,1
ABJC M,2002-01,-9.33,447000,175,2520,3500,126
ABJC M,2001-12,-3.02,194600,193,1000,3850,50
ABJC M,2001-10,-0.5,39850,199,200,3985,10
ABJC M,2001-09,-2.44,727320,200,3640,3995,182
ABJC M,2001-08,-14.58,2308030,205,10980,4090,549
ABJC M,2001-07,-1.23,752335,240,3260,4800,163
ABJC M,2001-05,-2.8,1557290,243,6280,4855,314
ABJC M,2001-04,0.0,285000,250,1140,5000,57
ABJC M,2001-03,0.0,100000,250,400,5000,20
ABJC M,2001-02,-5.66,1138000,250,4420,5000,221
ABJC M,2001-01,-1.85,1427210,265,5300,5300,265
ABJC M,2000-12,-1.82,16954580,270,57560,5400,2878
ABJC M,2000-11,0.0,885500,275,3220,5500,161
ABJC M,2000-10,-1.79,1264840,275,4540,5500,227
ABJC M,2000-09,0.0,767115,280,2740,5595,137
ABJC M,2000-08,-6.67,1279760,280,4420,5600,221
ABJC M,2000-07,-7.69,3350700,300,11020,5995,551
