Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
BOAC,T1,2017,7090000000.0,,,2614000000.0,
BOAC,T1,2016,7030000000.0,,,2513000000.0,
BOAC,T3,2024,53371000000.0,,34460000000.0,26293000000.0,
BOAC,T3,2023,46003000000.0,,28376000000.0,25058000000.0,
BOAC,T3,2022,34193000000.0,,16661000000.0,15134000000.0,
BOAC,T3,2021,32122000000.0,,16481000000.0,15213000000.0,
BOAC,T3,2020,30700000000.0,,15973000000.0,11781000000.0,
BOAC,T3,2019,26040000000.0,,,9556000000.0,
BOAC,T3,2018,23568000000.0,,,9118000000.0,
BOAC,T3,2017,22376000000.0,,,7687000000.0,
BOAC,T3,2016,21271000000.0,,,6930000000.0,
BOAM,An,2024,36159000000.0,541491000000.0,15863000000.0,9123000000.0,
BOAM,An,2023,35519000000.0,560354000000.0,12190000000.0,5778000000.0,
BOAM,An,2022,35307000000.0,576751000000.0,-8351000000.0,2460000000.0,
BOAM,An,2021,35408000000.0,581464000000.0,14186000000.0,2095000000.0,
BOAM,An,2020,32348000000.0,579478000000.0,12363000000.0,528000000.0,
BOAM,An,2019,32055000000.0,577348000000.0,9176000000.0,-6987000000.0,
BOAM,An,2018,29726000000.0,484979000000.0,6257000000.0,6340000000.0,
BOAM,An,2017,29590000000.0,455294000000.0,10171000000.0,4262000000.0,
BOAM,An,2016,29747000000.0,514000000000.0,11761000000.0,9403000000.0,
BOAM,An,2015,30210000000.0,535666000000.0,13715000000.0,7126000000.0,
BOAM,S1,2024,18213000000.0,,8140000000.0,4819000000.0,
BOAM,S1,2023,17504000000.0,,7767000000.0,2073000000.0,
BOAM,S1,2022,16701000000.0,,6848000000.0,1786000000.0,
BOAM,S1,2021,17995000000.0,,8305000000.0,1731000000.0,
BOAM,S1,2020,15853000000.0,,6082000000.0,3080000000.0,
BOAM,S1,2019,14582000000.0,,3622000000.0,-9040000000.0,
BOAM,S1,2018,14401000000.0,,5103000000.0,4569000000.0,
BOAM,S1,2017,15026000000.0,,6198000000.0,4291000000.0,
BOAM,S1,2016,16369000000.0,,7527000000.0,4066000000.0,
BOAM,T1,2024,8663000000.0,,3514000000.0,1580000000.0,
BOAM,T1,2023,8405000000.0,,3540000000.0,1578000000.0,
BOAM,T1,2022,8160000000.0,,3309000000.0,1491000000.0,
BOAM,T1,2021,8972000000.0,,4335000000.0,1458000000.0,
BOAM,T1,2020,7014000000.0,,2040000000.0,1165000000.0,
BOAM,T1,2019,6893000000.0,,1463000000.0,1572000000.0,
BOAM,T1,2018,7114000000.0,,,1902000000.0,
BOAM,T1,2017,7256000000.0,,,2628000000.0,
BOAM,T1,2016,7635000000.0,,,2294000000.0,
BOAM,T3,2023,26705000000.0,,11795000000.0,3753000000.0,
BOAM,T3,2022,25372000000.0,,10208000000.0,2898000000.0,
BOAM,T3,2021,25646000000.0,,10007000000.0,2764000000.0,
BOAM,T3,2020,24205000000.0,,9622000000.0,5787000000.0,
BOAM,T3,2019,22224000000.0,,5861000000.0,-6795000000.0,
BOAM,T3,2018,22408000000.0,,,6303000000.0,
BOAM,T3,2017,21605000000.0,,,7383000000.0,
BOAM,T3,2016,23495000000.0,,,7010000000.0,
BOAM,T4,2023,35519000000.0,,14678000000.0,5778000000.0,
BOAM,T4,2022,35307000000.0,,14387000000.0,2460000000.0,
BOAM,T4,2021,35408000000.0,,14186000000.0,2095000000.0,
BOAM,T4,2020,32348000000.0,,12363000000.0,528000000.0,
BOAM,T4,2019,32055000000.0,,9176000000.0,-6987000000.0,
BOAM,T4,2018,29726000000.0,,6257000000.0,6340000000.0,
BOAN,An,2024,21380000000.0,322404000000.0,8251000000.0,5002000000.0,
BOAN,An,2023,26976000000.0,349869000000.0,13988000000.0,10077000000.0,
BOAN,An,2022,24624000000.0,357509000000.0,12623000000.0,10134000000.0,
BOAN,An,2021,24995000000.0,356377000000.0,13067000000.0,9397000000.0,
BOAN,An,2020,24255000000.0,329785000000.0,12328000000.0,7421000000.0,
BOAN,An,2019,23448000000.0,343902000000.0,11529000000.0,8502000000.0,
BOAN,An,2018,20630000000.0,300491000000.0,10376000000.0,7666000000.0,
BOAN,An,2017,19626000000.0,294499000000.0,9911000000.0,7284000000.0,
BOAN,An,2016,19087000000.0,286739000000.0,9850000000.0,6600000000.0,
BOAN,An,2015,18053000000.0,262944000000.0,9887000000.0,5795000000.0,
BOAN,S1,2024,10927000000.0,,4500000000.0,3189000000.0,
BOAN,S1,2023,13196000000.0,,6902000000.0,5469000000.0,
BOAN,S1,2022,12413000000.0,,6639000000.0,5446000000.0,
BOAN,S1,2021,12361000000.0,,6598000000.0,5404000000.0,
BOAN,S1,2020,11136000000.0,,5604000000.0,3324000000.0,
BOAN,S1,2019,11138000000.0,,5595000000.0,4530000000.0,
BOAN,S1,2018,10477000000.0,,5384000000.0,4338000000.0,
